temp_measured,r_ntc,temp_calc,temp_diff
99.0,3.428,99.22114838733916,-0.22114838733915576
98.0,3.633,97.27822047930783,0.7217795206921664
96.0,3.859,95.27697187659908,0.7230281234009226
94.0,4.01,94.0133403463833,-0.013340346383301949
92.0,4.2,92.49871124229674,-0.4987112422967357
89.0,4.65,89.20430977497983,-0.2043097749798335
86.0,5.09,86.31851712908036,-0.31851712908036234
83.0,5.73,82.59461012700962,0.40538987299038354
80.0,6.15,80.40049221600015,-0.4004922160001456
77.0,6.78,77.4114935126567,-0.41149351265670475
74.0,7.55,74.16218937014384,-0.16218937014383528
71.0,8.38,71.05833494330841,-0.05833494330840949
68.0,9.3,68.00337157833428,-0.0033715783342813666
64.0,10.65,64.09381640784886,-0.09381640784886258
61.0,11.96,60.805417028531565,0.19458297146843506
58.0,13.3,57.84066467183254,0.1593353281674581
55.0,14.6,55.272291995953026,-0.2722919959530259
52.0,16.2,52.44636806129762,-0.4463680612976191
48.0,19.2,47.91361365574994,0.08638634425005876
44.0,22.5,43.77396392146511,0.22603607853488938
40.0,26.0,40.075301615764715,-0.07530161576471528
36.0,30.55,36.03169736906534,-0.03169736906534126
32.0,37.0,31.337615684978346,0.6623843150216544
28.0,43.8,27.298025207857847,0.7019747921421526
25.0,50.0,24.188587766746878,0.8114122332531224
22.0,55.8,21.65012753804018,0.34987246195981925
19.0,62.5,19.064038714170863,-0.06403871417086293
16.0,72.0,15.887992855833659,0.11200714416634128
13.0,74.0,15.279449202607907,-2.279449202607907
10.0,96.0,9.600122585942643,0.3998774140573573
