temp,r_ntc,u_adc,adc_value,resolution
366.39720792006244,0.03444905936965603,3.2967781303392725,4093,42.243117933127564
339.3880534913794,0.045943304007820096,3.2959726629240906,4092,27.00915442868302
319.91621943037524,0.05744316792959925,3.295167195508909,4091,19.471834061004188
304.87498307432713,0.06894865525671934,3.294361728093727,4090,15.041236356048103
292.7216683551427,0.08045977011494498,3.293556260678545,4089,12.153314719184436
282.58585795116323,0.09197651663404827,3.2927507932633633,4088,10.135810403979463
273.93154386506865,0.10349889894788178,3.2919453258481814,4087,8.654314086094587
266.4068588702635,0.11502692119432645,3.2911398584329996,4086,7.52468499480517
259.7692481610143,0.12656058751530197,3.2903343910178178,4085,6.637610709249202
253.84492650068853,0.13809990205680855,3.289528923602636,4084,5.924321660325745
248.5054201739606,0.14964486896889562,3.288723456187454,4083,5.339506326727928
243.65325963193698,0.16119549240568265,3.2879179887722723,4082,4.852160542023626
239.21286723568676,0.17275177652535922,3.2871125213570904,4081,4.440392396250218
235.12453966590743,0.18431372549019542,3.2863070539419086,4080,4.088327569779324
231.3403498079569,0.1958813434665314,3.2855015865267267,4079,3.784189857950537
227.82128094504787,0.20745463462481917,3.284696119111545,4078,3.519068862909023
224.53517599641117,0.21903360313955988,3.283890651696363,4077,3.286104948636705
221.45524000746303,0.23061825318939788,3.2830851842811812,4076,3.0799359889481366
218.5589268747483,0.242208588957058,3.2822797168659994,4075,2.896313132714738
215.8270983944023,0.253804614629356,3.2814742494508176,4074,2.731828480345996
213.2433798509286,0.2654063343972508,3.2806687820356357,4073,2.583718543473708
210.79365978500948,0.2770137524557923,3.279863314620454,4072,2.4497200659191094
208.4656971002372,0.28862687300417345,3.279057847205272,4071,2.327962684772274
206.24880916005264,0.3002457002456991,3.27825237979009,4070,2.216887940184563
204.1336217459979,0.3118702383878067,3.2774469123749084,4069,2.1151874140547307
202.11186679901846,0.3235004916420874,3.2766414449597265,4068,2.0217549469794562
200.1762174519481,0.33513646422424404,3.2758359775445447,4067,1.9356493470703526
198.32015244326328,0.346778160354154,3.275030510129363,4066,1.8560650086848227
196.5378438848834,0.3584255842558377,3.274225042714181,4065,1.7823085583798957
194.8240637456464,0.37007874015747966,3.273419575298999,4064,1.7137801392369738
193.17410544801947,0.38173763229140745,3.2726141078838173,4063,1.649958297626938
191.58371775605707,0.393402264894144,3.2718086404686355,4062,1.5903876919624054
190.04904872628367,0.4050726422063553,3.2710031730534537,4061,1.5346690297733971
188.56659794864282,0.41674876847290276,3.270197705638272,4060,1.4824507776408495
187.1331756571605,0.428430647942843,3.26939223822309,4059,1.4334222914823158
185.74586756477436,0.44011828486939675,3.268586770807908,4058,1.3873080923861494
184.40200449265984,0.4518116835099799,3.2677813033927263,4057,1.343863072114516
183.09913603515935,0.4635108481262351,3.2669758359775445,4056,1.3028684575004945
181.8350076373627,0.47521578298396894,3.2661703685623626,4055,1.2641283977966395
180.60754057124495,0.4869264923532355,3.265364901147181,4054,1.2274670661177538
179.41481438406856,0.4986429805082633,3.264559433731999,4053,1.1927261871763903
178.25505146378106,0.5103652517275388,3.263753966316817,4052,1.1597629202875055
177.12660342409873,0.5220933102937542,3.2629484989016353,4051,1.1284480396823255
176.02793905931452,0.5338271604938283,3.2621430314864535,4050,1.098664364784213
174.95763365787735,0.545566806618917,3.2613375640712716,4049,1.0703054014371673
173.91435949599162,0.5573122529644237,3.26053209665609,4048,1.0432741618857335
172.89687735920734,0.5690635038299992,3.259726629240908,4047,1.017482136784281
171.90402896224856,0.5808205635195209,3.258921161825726,4046,0.9928483969587774
170.934730155944,0.5925834363411662,3.2581156944105443,4045,0.9692988063045505
169.98796482579758,0.6043521266073177,3.2573102269953624,4044,0.9467653301464338
169.0627793998761,0.6161266386346791,3.2565047595801806,4043,0.9251854259214838
168.15827789490044,0.6279069767441907,3.2556992921649988,4042,0.9045015049756557
167.27361743883387,0.6396931452610719,3.254893824749817,4041,0.8846604560665696
166.40800421635487,0.6514851485148521,3.254088357334635,4040,0.8656132224789985
