temp_measured,r_ntc,temp_calc,temp_diff
99.0,3.428,99.40768518465677,-0.4076851846567706
98.0,3.633,97.4187324417793,0.5812675582207021
96.0,3.859,95.37357258674041,0.6264274132595915
94.0,4.01,94.08403225692439,-0.0840322569243881
92.0,4.2,92.54019354694009,-0.5401935469400883
89.0,4.65,89.18916690490164,-0.18916690490164
86.0,5.09,86.26148970393899,-0.2614897039389916
83.0,5.73,82.49408028257568,0.5059197174243195
80.0,6.15,80.27984553882101,-0.27984553882100727
77.0,6.78,77.26996228646124,-0.26996228646123654
74.0,7.55,74.00641178892391,-0.006411788923912809
71.0,8.38,70.89709574750151,0.10290425249849022
68.0,9.3,67.84445279764526,0.1555472023547395
64.0,10.65,63.94888384359848,0.051116156401519675
61.0,11.96,60.681717994742144,0.3182820052578563
58.0,13.3,57.74344219113806,0.2565578088619418
55.0,14.6,55.203570944036755,-0.20357094403675546
52.0,16.2,52.41491803986588,-0.4149180398658814
48.0,19.2,47.95473022911847,0.04526977088153217
44.0,22.5,43.89492397018432,0.10507602981567743
40.0,26.0,40.27839165304374,-0.2783916530437409
36.0,30.55,36.336056258000724,-0.33605625800072403
32.0,37.0,31.77433090405225,0.22566909594775098
28.0,43.8,27.861153196921975,0.13884680307802455
25.0,50.0,24.856775109113357,0.1432248908866427
22.0,57.0,21.93888180845221,0.06111819154779141
19.0,66.0,18.737824382900897,0.2621756170991034
16.0,75.0,15.999953610309092,4.6389690908199555e-05
13.0,87.0,12.881702786691278,0.1182972133087219
10.0,98.0,10.4260583483765,-0.42605834837650036
